"C04_PERIODO","INS_COD","C04_APC","C04_PEC","C04_IRS"
201606,"WWQ",402644330750.8,393348618165,97.69
201606,"ONOO",158997094507344,21487793463232,13.51
201606,"ONOP",158997094507344,21487793463232,13.51
201606,"ONWQ",123628359183186,16010390938839,12.95
201606,"OONQ",963509352337.9,198471342571,20.6
201606,"PNOQ",95643057066828.8,12468958404325,13.04
201606,"PNOR",102109493450223,13546228093724,13.27
201606,"PNOS",18418715035039.6,2215569892024,12.03
201605,"TP",4809884701162.8,614415908523,12.77
201605,"WOQ",137957112384084,18769691781362,13.61
201605,"WTQ",86774113688017.5,11628126845469,13.4
201605,"WUQ",72099677960305.4,9603384769460,13.32
201605,"WVQ",137587193125891,18452486767592,13.41
201605,"WWQ",427451656093.2,389654845454,91.16
201605,"ONOO",158873791648323,21231511614929,13.36
201605,"ONOP",158873791648323,21231511614929,13.36
201605,"ONWQ",123393382471511,15910525637217,12.89
201605,"OONQ",958356446128.9,194251244547,20.27
201605,"PNOQ",95806978612279,12372639852919,12.91
201605,"PNOR",102476703207272,13448705803650,13.12
201605,"PNOS",18397555284032.9,2212618667558,12.03
201605,"PNPQ",20916679264239,2461819833567,11.77
201605,"PNQQ",17082853892778.8,3108367310154,18.2
201606,"PU",8763710302401.9,1043541660904,11.91
201605,"PNQR",9248537358701.3,1233885312317,13.34
201606,"ST",13271396607,21023114272,158.41
201607,"ST",13195281966.8,21038828301,159.44
201607,"SV",47072303444,57313254454,121.76
201607,"TR",1465616872922.6,229880194658,15.68
201607,"UN",39727612497.1,43090138856,108.46
201607,"PP",964309748090.5,140973105149,14.62
201607,"PW",23946997918133.6,3257761910628,13.6
201607,"QN",36547191379.9,23924932001,65.46
201607,"SOU",9747385254630.6,1183623598204,12.14
201607,"TV",2478256260526.5,475856812885,19.2
201607,"UP",59889487513.2,72849880323,121.64
201607,"TT",952915636864.7,201361608649,21.13
201607,"OR",26560010129338.6,3575695629030,13.46
201607,"PS",21479180755786.6,2513094097258,11.7
201607,"SN",26735774548806.5,3531817236338,13.21
201607,"TP",4788164576556.5,639403584434,13.35
201607,"SP",24208896331380,3332026529705,13.76
201607,"PU",8779044241411.2,1054201816866,12.01
201607,"WRN",6319282027646.8,948611268741,15.01
201607,"TW",60711447258.8,213383359739,351.47
201607,"RO",4482206055886.9,627105247675,13.99
201607,"TS",465752263.8,58847367549,12634.91
201607,"RR",416445082999.9,87961485090,21.12
201607,"WPW",3911448522651.3,559740412499,14.31
201607,"SR",267096717042.4,219267226890,82.09
201607,"WOQ",136881126119335,19161510080022,14
201607,"WTQ",87218097013862.4,11917605688961,13.66
201607,"WUQ",71142209861259.3,9756998488319,13.71
201607,"WVQ",136517214625502,18839965838376,13.8
201607,"WWQ",423800981346.3,394394121969,93.06
201607,"ONOO",158416710323565,21806670609201,13.77
201607,"ONOP",158416710323565,21806670609201,13.77
201607,"ONWQ",122930859683445,16210395402959,13.19
201607,"OONQ",952915636864.7,201361608649,21.13
201607,"PNOQ",95769212092320.5,12603100191066,13.16
201607,"PNOR",101451678927659,13697301305701,13.5
201607,"PNOS",18526429496041.8,2237825415070,12.08
201607,"PNPQ",21479180755786.6,2513094097258,11.7
201607,"PNQQ",16903017695634.6,3226383359251,19.09
201607,"PNQR",9270370632443.4,1266508832109,13.66
201607,"PNQS",3282864747604.6,1128166132476,34.37
201607,"PNQT",2458260122284.4,474331942163,19.3
201607,"PNQU",1794707416511.5,255099437747,14.21
201606,"WPW",3919498535430,564887130839,14.41
201606,"PNPQ",21518865732962.4,2464162845115,11.45
201606,"PNQQ",16921051847458.1,3130133369426,18.5
201606,"UQ",28968441660.7,131699262943,454.63
201607,"UQ",56403448443.3,132066431921,234.15
201608,"SR",295832301104.3,219999879533,74.37
201608,"UQ",61733322388.2,132781465334,215.09
201608,"PP",990394086624.1,141929038979,14.33
201608,"UN",39386286920.4,42858198997,108.82
201606,"WRN",6774053337104.8,999668386782,14.76
201605,"WPW",3953158074063.9,571429985494,14.46
201606,"PNQR",9310671093664.6,1235711791198,13.27
201606,"PNQS",3251127659718.5,1068760539059,32.87
201606,"PNQT",2472919364041.8,468636353471,18.95
201606,"PNQU",1789459736780.5,254701753930,14.23
201606,"PNQV",125842434913.4,234022194711,185.96
201606,"PNQW",2994030342912.2,791410488765,26.43
201606,"PNRN",257097316806.3,277350050294,107.88
201606,"PNTQ",4830826791664.2,1075794825728,22.27
201608,"SV",43990404986.3,57267175210,130.18
201608,"TR",1531626569138.1,234332505414,15.3
201608,"QN",36772622062.7,23910771383,65.02
201608,"TS",123348009.8,58963483953,47802.54
201608,"OR",26801156382814.4,3627434105176,13.53
201608,"PS",21970220237375,2510944367231,11.43
201608,"TV",2539982411370,482523351701,19
201608,"RR",435545318012.3,89330860009,20.51
201608,"PU",8746271622820.6,1059293221887,12.11
201608,"TT",950982353428.1,203875397321,21.44
201608,"TU",835269458827.9,118665579548,14.21
201607,"TU",830397668421,114126332598,13.74
201608,"TP",4918084821806.1,646535408113,13.15
201608,"TW",60554472491.7,213773738222,353.03
201607,"PNQV",153218225234,234343446677,152.95
201607,"PNQW",3015302278298.4,850051538037,28.19
201607,"PNRN",267562469306.2,278114594439,103.94
201607,"PNTQ",4846934984087.4,1134578110217,23.41
201608,"PW",24621644943816.9,3289418095011,13.36
201608,"RO",4580010196645.9,629086437418,13.74
201608,"SN",27167225171236.5,3564807848287,13.12
201608,"WPW",4193696988558.8,584311035738,13.93
201608,"SOU",9883125793465.2,1191862447064,12.06
201608,"WRN",6687520809985.6,911701631595,13.63
201608,"SP",24756585578799.6,3341119634079,13.5
201608,"WOQ",139298821587795,19330681775328,13.88
201608,"WTQ",89004042762430.7,12022710643583,13.51
201608,"WUQ",72264999062738.8,9818915498976,13.59
201608,"WVQ",138908805481557,19008448106268,13.68
201608,"WWQ",440852771566.9,394872424149,89.57
201608,"ONOO",161330775147558,21974407607893,13.62
