"I06_PERIODO","INS_COD","E_Perm","E_Ext"
201702,"SN",10647,649
201702,"SP",5584,21
201702,"SR",108,11
201702,"ST",23,0
201702,"SV",67,0
201702,"TP",1110,25
201702,"TR",1919,324
201702,"TT",822,4
201702,"TU",176,34
201702,"TV",699,30
201702,"UP",70,8
201702,"UQ",33,1
201702,"SOU",2733,29
201703,"OR",11450,0
201703,"PP",474,0
201703,"PS",10110,786
201703,"PU",3557,224
201703,"PW",9184,204
201703,"QN",24,4
201703,"RO",1143,67
201703,"RR",93,2
201703,"SN",10523,627
201703,"SP",5529,21
201703,"SR",108,11
201703,"ST",23,0
201703,"SV",64,0
201703,"TP",1119,25
201703,"TR",1922,293
201703,"TT",803,4
201703,"TU",178,36
201703,"TV",712,30
201703,"UP",72,0
201703,"UQ",33,1
201703,"SOU",2935,29
201704,"OR",11409,0
201704,"PP",473,0
201704,"PS",10126,644
201704,"PU",3551,178
201704,"PW",9133,42
201704,"QN",24,4
201704,"RO",1161,66
201704,"RR",91,3
201704,"SN",10470,368
201704,"SP",5608,21
201704,"SR",105,12
201704,"ST",22,0
201704,"SV",64,0
201704,"TP",1108,24
201704,"TR",1908,263
201704,"TT",799,4
201704,"TU",175,36
201704,"TV",726,30
201704,"UP",74,0
201704,"UQ",32,1
201704,"SOU",2934,29
201705,"OR",11426,0
201705,"PP",477,0
201705,"PS",10158,370
201705,"PU",3552,207
201705,"PW",9115,189
201705,"QN",24,4
201705,"RO",1177,66
201705,"RR",91,4
201705,"SN",10402,375
201705,"SP",5584,21
201705,"SR",106,12
201705,"ST",22,0
201705,"SV",64,0
201705,"TP",1112,29
201705,"TR",1895,253
201705,"TT",814,4
201705,"TV",765,30
201705,"UP",74,8
201705,"UQ",32,1
201705,"SOU",2929,29
201706,"OR",11427,0
201706,"PP",481,0
201706,"PS",10194,590
201706,"PU",3574,192
201706,"PW",9115,189
201706,"QN",25,4
201706,"RO",1186,64
201706,"RR",89,4
201706,"SN",10404,363
201706,"SP",5582,21
201706,"SR",105,12
201706,"ST",22,0
201706,"SV",66,0
201706,"TP",1111,27
201706,"TR",1892,255
201706,"TT",812,4
201706,"TV",779,30
201706,"UP",72,0
201706,"UQ",32,1
201706,"SOU",3572,29
201707,"OR",11447,0
201707,"PP",486,0
201707,"PS",10254,739
201707,"PU",3594,230
201707,"PW",9115,189
201707,"QN",25,4
201707,"RO",1177,68
201707,"RR",88,3
201707,"SN",10437,374
201707,"SP",5642,19
201707,"SR",105,12
201707,"ST",22,0
201707,"SV",67,0
201707,"TP",1108,50
201707,"TR",1878,239
201707,"TT",821,4
201707,"TV",776,30
201707,"UP",72,0
201707,"UQ",32,1
201707,"SOU",3578,29
201708,"OR",11441,0
201708,"PP",491,0
201708,"PS",10313,543
201708,"PU",3617,190
201708,"PW",9060,179
201708,"QN",24,4
201708,"RO",1175,69
201708,"RR",88,3
201708,"SN",10401,367
201708,"SP",5629,19
201708,"SR",104,12
201708,"ST",22,0
201708,"SV",65,0
201708,"TP",1112,29
201708,"TR",1883,214
201708,"TT",821,6
201708,"TV",788,30
201708,"UP",74,0
201708,"UQ",31,1
201708,"SOU",3564,29
201709,"OR",11432,0
201709,"PP",492,0
201709,"PS",10268,585
201709,"PU",3628,206
201709,"PW",9065,179
201709,"QN",25,4
201709,"RO",1176,66
201709,"RR",90,3
201709,"SN",10390,384
201709,"SP",5628,19
201709,"SR",102,12
201709,"ST",22,0
201709,"SV",64,0
201709,"TP",1109,27
201709,"TR",1891,263
201709,"TT",847,6
201709,"TV",778,30
201709,"UP",73,0
201709,"UQ",32,1
201709,"SOU",3567,29
201710,"OR",11383,0
201710,"PP",495,0
201710,"PS",10308,575
201710,"PU",3610,196
201710,"PW",9065,182
201710,"QN",25,4
201710,"RO",1178,69
201710,"RR",88,3
201710,"SN",10404,338
201710,"SP",5521,19
201710,"SR",102,27
201710,"ST",22,0
201710,"SV",66,0
201710,"TP",1117,29
201710,"TR",1886,273
201710,"TT",832,6
201710,"TV",781,30
201710,"UP",75,0
201710,"UQ",33,1
201710,"SOU",3537,10
201711,"OR",11362,0
201711,"PP",478,0
201711,"PS",10315,591
201711,"PU",3563,207
201711,"PW",8871,180
201711,"QN",25,4
201711,"RO",1178,69
201711,"RR",88,6
201711,"SN",10376,357
201711,"SP",5447,19
201711,"SR",102,27
201711,"ST",22,0
201711,"SV",65,0
201711,"TP",1121,29
201711,"TR",1897,260
201711,"TT",888,6
201711,"TV",784,28
201711,"UP",74,0
201711,"UQ",33,1
201711,"SOU",3578,10
201712,"OR",11372,0
201712,"PP",504,0
201712,"PS",10265,688
201712,"PU",3567,216
201712,"PW",8734,180
201712,"QN",25,4
201712,"RO",1175,74
201712,"RR",89,6
201712,"SN",10405,686
201712,"SP",5418,19
201712,"SR",104,26
201712,"ST",22,0
201712,"SV",64,0
201712,"TP",1109,30
201712,"TR",1906,265
201712,"TT",886,4
201712,"TV",798,28
201712,"UP",72,0
201712,"UQ",34,1
201712,"SOU",3577,29
